CUSTOMER_NUMBER,CUSTOMER_ITEM_NUMBER
1455,4H00442001
1455,4H00442001X0
1455,4H00480001
1455,4H00481601
1471,135-325640-200
1471,135-389668-300
1471,135-389668-300G
1471,141-018810-210
1471,141-031800-200
1471,141-071130-200
1471,171-501025-200
1471,344-110600-100
1455,31001G3201
1455,3100858401
1455,310HC68201
1455,3I0ALS0801
1455,3I74F24402
1455,3I74F24402
1455,3I74F24502
1455,3ILVC00A01
1455,3P0431CD01
1455,3PS340T301
1455,3PS340T301
1455,3T00330601
1455,3T00954501
1455,3T16C55002X0
1455,3VC0858401X0
1471,171-501400-200
1471,172-222222-200G
1471,172-223904-200
1471,172-223904-200G
1471,172-223904-300
1471,172-223904-3006G
1471,172-223904-300G
1471,172-223906-200
1471,172-223906-2007
1471,172-223906-2007G
1471,172-223906-200G
1471,172-244030-200
1471,172-244030-200G
1471,172-308030-200
1471,172-308030-200G
1471,172-308030-210
1471,172-308030-210G
1471,172-311353-220
1471,172-311353-220G
1471,172-311353-300
1471,172-311353-300G
1471,172-323010-200
1471,172-323010-200
1471,172-323010-200G
1471,172-323020-200
1471,172-323020-200
1471,172-323020-200G
1471,172-323020-200G
1471,172-323020-204G
1471,172-340035-200
1471,172-370030-200
1471,172-370030-200G
1471,172-375030-200
1471,172-375030-200G
1471,172-378030-200
1471,172-378030-200G
1471,172-380020-100G
1471,231-101000-2206G
1471,171-501400-200G
1471,171-503400-200G
1471,171-505400-200
1471,171-505400-200G
1471,171-505430-200
1471,171-505430-200G
1471,171-505431-200
1471,171-505431-200G
1471,171-505432-200
1471,171-506400-2006G
1471,171-506400-200G
1471,171-507000-200
1471,171-507000-200G
1471,171-508350-200
1471,171-508350-2006G
1471,171-508350-200G
1471,171-842010-200
1471,171-842010-200G
1471,172-000690-200
1471,172-000690-200G
1471,172-000847-200
1471,172-000847-210
1471,172-045030-200
1471,172-045030-200G
1471,172-048000-200
1471,172-060200-200
1471,172-060200-200
1471,172-066030-200
1471,172-066030-200G
1471,172-066030-210
1471,172-098030-200
1471,172-108570-210G
1471,172-108570-210G
1471,172-142907-210G
1471,172-207002-200
1471,172-207002-200G
1471,172-207002-200G
1471,172-207002-210
1471,172-207002-2104G
1471,172-207002-210G
1471,172-207002-214G
1471,172-222222-200
1471,111-100007-200
1471,111-100007-2001G
1471,111-100007-200G
1471,111-100007-201G
1471,111-300032-200
1471,111-300125-200
1471,111-300157-200
1471,111-300245-200
1471,111-300245-200
1471,111-300245-200G
1471,111-300245-200G
1471,112-550000-200
1471,112-550000-200G
1471,112-550014-200
1471,112-550014-200
1471,112-550014-2001G
1471,112-550014-200G
1471,112-550014-210
1471,112-550014-210G
1471,112-550051-200
1471,112-550051-2001G
1471,112-550051-200G
1471,112-550051-201G
1471,112-550066-200
1471,112-550066-200G
1471,112-550074-200
1471,112-550074-2001G
1471,112-550074-200G
1471,112-550125-200
1471,112-550238-200
1471,112-550238-2003G
1471,112-550238-203G
1471,112-550244-200
1471,112-550245-210
1471,112-550245-210
1471,112-550245-210G
1471,112-800007-200
1471,112-800008-280
1471,112-800008-280
1471,112-800008-280G
1471,112-800008-280G
1471,112-800014-200
1471,112-800014-200G
1471,112-800014-400
1471,112-800014-400
1471,112-800014-400G
1471,113-500004-210
1471,113-500008-200
1471,113-500008-200G
1471,113-500014-200
1471,113-500014-2001G
1471,113-500074-200
1471,113-500074-2001
1471,113-500074-2001G
1471,113-500074-200G
1471,113-500132-200
1471,113-500132-2001G
1471,113-500393-200
1471,113-600138-400
1471,121-000324-200
1471,121-000324-200G
1471,121-000339-200
1471,121-000339-200G
1471,121-000358-200
1471,121-000358-2001G
1471,121-000358-200G
1471,121-000358-210
1471,121-000358-210G
1471,121-000393-200
1471,121-000393-2001G
1471,121-000393-200G
1471,121-000393-201G
1471,121-003510-200
1471,121-003510-200G
1471,121-003823-200G
1471,121-004069-200
1471,121-005355-200
1471,121-007805-800
1471,121-007805-800G
1471,121-034180-200
1471,121-034180-200
1471,121-034180-200G
1471,121-075185-400G
1471,121-075232-200
1471,121-075451-200G
1471,121-201032-200G
1471,123-001308-200
1471,123-020120-200G
1471,123-102720-200
1486,140000C0
1486,140000C0
1486,14000320
1486,14000320
1486,14000350
1486,14100031
1486,14100050
1486,141100Q0
1486,141100R0
1486,144006C2
1486,14400701
1486,14400813
1486,144008K0
1486,14401482
1486,144014C2
1486,14406670
1486,14407481
1486,14413982
1486,14424081
1486,14424082
1486,144244F0
1486,14424590
1486,14437332
1486,14900012
1486,14900543
1339,355-6932X24509
1320,309-1025-02
1320,309-1097-02
1320,G1011-001000
1320,334-1098-02
1320,334-1104-02
1382,ECU01502
1339,357-7600221110
1339,359-41PA020210
1339,359G41PA020210
1486,149009B0
1339,441-005CE07330
1339,441-005CE08500
1455,71I4850631
1339,441-005P310011
1455,71I501G621
1339,441-005P312610
1455,71I501G625
1339,441-005P400000
1455,71I802GA53
1339,525-0000000015
1455,P000001546
1339,570-00WINDOWS2
1455,3VL8257301X0
1455,3VL8257302X0
1455,3VVB690000
1455,4H00441201
1455,4H00441201X0
1455,4H00442001
1455,4H00481801
1455,4H00481801X0
1455,4H00481801X0
1455,4H00481801X00
1455,711402GA43
1455,71I402GA41
1455,Y01B100000
1471,141-032570-200G
1471,147-825411-400
1471,151-001100-200
1471,171-205401-2004
1471,171-205401-2004
1471,171-205401-2004
1471,171-205401-2004G
1471,263-180028-0004
1471,265-101031-200
1471,344-110600-100G
1455,3I074F3201
1471,111-300032-200
1471,111-300032-200G
1455,3I074F7401
1455,3IALS24502
1455,3L00441001
1193,1000-01367A
1455,3T00338404
1455,3T16C55002X0
1455,3T16C550C1
1455,3VC0956401
1455,PCA9564D
1455,3VC8007B01
1471,171-501025-200
1471,172-323020-200
1471,172-323150-200
1471,172-085030-200G
1471,172-207002-200
1471,111-200145-200
1471,111-200145-2001G
1471,111-200145-201G
1471,111-300125-200
1471,111-300125-2001G
1471,111-300125-200G
1486,14412553
1471,112-550000-2001G
1471,112-550000-200G
1471,112-550125-200
1486,14412582
1471,113-500165-400
1471,121-002080-200
1471,121-002080-200G
1471,121-002803-200
1471,121-002803-2007G
1471,121-002803-200G
1471,121-003245-200
1471,121-003245-200G
1471,121-007805-902G
1471,121-022110-2001
1471,121-201032-200
1471,121-201032-2008G
1471,121-201032-2008G
1471,123-001308-200
1471,135-301004-200
1486,14100200
1486,141100C1
1486,144244C1
1486,144273C0
1486,149009F0
1486,14901830
1486,14901890
1486,149900G0
1486,24260471
1486,24260488
1486,24260490
1486,24270050
1486,24270060
1509,MISC
1509,MISC
1509,MISC
1513,10333841
1513,17374740
1513,18305560
1522,6100070XFX
1522,6100080XAX
1522,6100080XCX
1522,6100140XAX
1522,6100320XAX
1522,6100320XAXG0
1522,6101250XFX
1522,6101740XHX
1522,6101740XHXG0
1522,610244TXHX
1522,610245SXAX
1522,610245SXAXG0
1522,6174AT0PX3
1522,6174AT0PX3G0
1522,6185740PX3
1522,6185840PX0
1522,6185840PX0G0
1522,62431AH2X2
1522,62431AH2X2G0
1522,6A1G04RXX2
1522,6BV244T2Q0
1522,6BV244T2Q0G0
1522,6G3C66CRX6-001
1522,74AHCT1G04GW
1522,AT93C66A-10SU-2.7
1522,PCF8574AT/3
1522,PCF8574T/3
1151,1012-00263A
1509,E1VTFDU4300
1509,E28PCA9535BS
1509,E28PESD5V0S2BL
1944,1710000811000
1944,1710007407010
1944,1710007474010
1944,1710074107000
1944,1710074273000
1944,1710074373020
1944,2010005400020P
1944,2010005400030
1944,2010005400030P
1944,2030060200000
2672,5ICG000051XA00I
2672,5ICG000125XA00M
2672,5TR-000001XA00I
2672,5TR-000003XA00I
2672,5DZ-0027040A0LM
2672,5DZ-0027040AOLM
2672,5IC-000008XA00O
2672,5IC-000044XA00M
2672,5IC-000125XA00M
2672,5IC-000125XA00M
2672,5IC-000208XA00M
2672,5IC-000225XA00M
2672,5IC-000252X0000M
2754,電晶體5101003100
2754,電晶體510200300A
2754,電晶體5102004100
2754,電晶體5102004100G
2754,電晶體5102005700
2754,電晶體5202003000
2754,510200300AG電晶體
2754,5202003000(PB FREE)
2754,5202010800(二極體)
2754,"5301005500,邏輯IC"
2754,5301006900
2754,5301006900穩壓IC
2754,5301010800
2754,5301031900
2754,5301031900G穩壓IC
2754,5301031900穩壓IC
2754,5301062100
2754,5302028800 (PB FREE)
2754,5302037700G邏輯閘IC
2754,5302039300 (PB FREE)
2754,5302039500 邏輯閘IC
2754,5302039800放大器
2754,5302040200 邏輯閘IC
2754,5302040400 (PB FREE)
2754,5302043300G纙輯閘IC
2754,OP放大器(5302005700)
2754,OP放大器5302005700G
2754,積體電路(5302006600)
2754,積體電路(LM339N)
2754,積體電路5301023300
2754,積體電路5302001400
2754,線性IC 5302017300
2754,線性IC 5302017300G
2754,線性IC5302030500
2754,線性IC5302030500G
2754,線性IC5302030600
2754,邏輯IC5302026400
2754,電晶體(5101007700)
3874,PDA ENGRUN
3874,S1100BAT54
3874,S1100BAT54A
3874,S1100BAT54S
3874,S1100BAV70
3874,S1101N4148
3874,S1101N4148
3874,S12PMB3904
3874,S13LMV3241
3874,S13P4066PW
2788,.
2788,.
2788,1315510084700
2788,1403499741250
2788,1403700740400
2858,002-02003-ULN
2858,002-74H04-TCC
2858,002-CT245-000
2858,002-HC125-14P
2858,002-HC125-14P
2858,057-02478-200
2858,057-03904-2N0
2858,057-03906-2N0
8140,04.PN2222.001
8140,11.0NE555.001
8140,13.808001.001
8140,13.808001.201
8140,13.812006.001
9153,1AL24003S1248
8575,PM.00205.00000
8575,PM.00A13.00000
8575,PM.96N03.00000
8584,10-BAT54SW02P
8457,11050069110-1
8457,11050069110-1
8457,1105006911000
8457,11600148930
8457,1160014893000
8457,11740000030
8457,1174000003000
8457,1174004023000
8457,1174244013000
8457,11742440730
8457,1174244093000
8457,11742450196
8457,1174273023000
8457,11743030530
8457,1174303053000
8457,1174373013000
8457,P89C668HFA
8459,I-75232-SOP20
9126,.
9126,04-74F74-S
9126,04-74HC32-S
9126,04-74LV32-S
9126,04-74LVC08ADT-S
9126,04-74LVC138-S
9126,04-MAX3243CDBR
9126,04G-MAX3243CDBR
9126,07-93C66-10SC
9126,19-2N3904-W
9133,111102886X
9133,B11060235X
9133,B11060235X
9153,1AL15001S1240
9153,1AL16025S1226
9153,1AL16026S1221
9153,1AL16027S1241
9153,1AL16028S1246
9153,1AL16029S1224
9153,1AL16030S1227
9153,1AL16031S1221
9153,1AL16041S1225
9153,1AL16042S1246
9153,1AL16043S1241
9153,1AL16044S1229
9153,1AL16044S1245
9153,1AL16045S1240
9153,1AL22005S1226
9153,1AL22007S1225
9153,1AL22010S1227
9153,1AL22011S1221
9153,1AL24001S1249
9153,1AU00033S1241
9153,1SV0101002107
9153,1TA00019S1247
9153,1TN00019S1243
9153,1TN07002S1249
9153,1TX06040S1247
9153,1TX06042S1246
9153,1TX99007S1243
9153,2AA13002S3046
9153,2AL06060S3228
9153,2AL06173S1221
9153,2AL08005S1271
9153,2AL08034S1243
9153,2AL12004S1229
9153,2AL15001S1243
9153,2AL16025S1220
9153,2AL16026S1224
9153,2AL16027S1229
9153,2AL16028S1240
9153,2AL16029S1228
9153,2AL16030S1221
9153,2AL16031S1225
9153,2AL16032S1122
9153,2AL16039S1248
9153,2AL16041S1229
9153,2AL16043S1244
9153,2AL22004S1241
9153,2AL22006S1241
9153,2AL22007S1245
9153,2TA00019S1241
9153,2TN00019S1247
9153,2TN07002S1242
9153,2TX06040S1241
9153,2TX06042S1240
9164,100100117
9164,100100160
9164,100100194
9164,100100209
9164,100100302
9164,100100305
9164,100100311
9164,100100315
9164,100100351
9164,100100380
9164,10010Y10351B1
9164,10010Y10380B1
9164,10010Y10380H1
9164,10020Y11000A1
9164,101700054
9164,110100117
9164,110100351
9164,110100380
9164,110100499
1486,14901191
1455,71IB01GC41
1455,3VB8280106
1455,3VBICH3S01
1455,3VB8280111X0
1455,71I802GA43
1486,24270011
1471,172-323010-200
1471,172-323150-2004G
1471,172-345320-200
1471,172-345320-2004G
1471,172-345320-200G
1471,172-345320-2004G
2672,5IC-000057XA00M
1471,172-349470-200
1471,172-349470-2004G
1471,172-349470-200G
1471,172-350240-200
1471,172-350241-200
1471,172-394350-200G
1471,172-394350-200G
1522,A7I94356XXG0
1471,172-070030-200
1471,172-085030-200
1471,172-085030-200G
1471,172-085030-204
1471,172-085030-200G
1471,172-207002-210
1471,172-207002-2104
1471,172-207002-210G
1471,172-207002-214
1471,111-300157-200
1471,111-300157-200G
1471,135-301000-220
8457,11560002030
1471,135-303202-200
1471,135-324064-200
1486,144244B1
1522,F000025AC5G0
1509,E3ZTPS62046DGQR
1509,MISC
1509,MISC
1513,10333841
1522,6174AT0PX3
1522,6F74LHS2Q0
1522,6F74LHS2Q0G0
1522,A7I94356XX
1944,1810904433000
1944,1811164000000
2672,5IC-000133XA00M
2672,5IC-000199XA00M
2672,5IC-000217XA00M
2672,5IC-000222XA00M
2754,5301013400
2754,可編程祇讀記憶體
2754,5301018200 (PB FREE)
2754,記憶體5301018200
8457,11560000111
2754,5301047100
2754,5302040300 (PB FREE)
2754,積體電路5302013300
2754,記憶體5302003400
9164,100100509
3874,S1200BFT25
3874,S12BFG410W
3874,S13C4066PW
3874,S13TPA2005
2788,1304506104100
2788,1308602401000
2858,002-74374-HCT
7695,AT25F1024
8575,IP.89932.00000
